Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,8,4,0.25,1,333.0101081,0.013807002,0.2,0,11.89794,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,8,4,0.25,1,338.0175229,0.01387315,0.3,0,12.7863,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,8,4,0.25,1,333.0088697,0.013653044,0.214285714,50,495.51156,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,8,4,0.25,1,338.0058166,0.013917565,0.2,50,498.69546,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,8,4,0.25,1,368.011601,0.015167165,0.2,0,12.96228,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,8,4,0.25,1,375.0087367,0.015673828,0.2,0,12.8664,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,8,4,0.25,1,368.0036656,0.014938182,0.166666667,50,552.48258,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,8,4,0.25,1,375.0031873,0.015371677,0.166666667,50,463.05024,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,8,4,0.25,1,314.0102832,0.013145078,0.2,0,11.1099,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,8,4,0.25,1,342.0095428,0.014192748,0.214285714,0,12.20184,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,8,4,0.25,1,314.0036951,0.012873785,0.181818182,50,500.37456,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,8,4,0.25,1,342.0038845,0.01391802,0.166666667,50,483.8196,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,8,4,0.25,1,367.0149423,0.015265089,0.2,0,12.13752,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,8,4,0.25,1,345.0066705,0.014085085,0.2,0,11.826,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,8,4,0.25,1,368.0043921,0.015045267,0.181818182,50,493.4295,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,8,4,0.25,1,345.0067948,0.013984976,0.2,50,490.79232,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,8,4,0.25,1,366.0169943,0.01537282,0.272727273,0,12.16362,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,8,4,0.25,1,383.0231238,0.01629665,0.3,0,11.86548,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,8,4,0.25,1,366.0046876,0.014931666,0.2,50,498.73014,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,8,4,0.25,1,383.0048839,0.015777115,0.166666667,50,516.55488,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,8,8,0.25,2,533.019462,0.021946482,0.230769231,0,13.97868,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,8,8,0.25,2,536.0243028,0.022307158,0.272727273,0,12.94218,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,8,8,0.25,2,527.0124279,0.021463071,0.210526316,50,492.94566,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,8,8,0.25,2,533.0080661,0.021756699,0.2,50,491.44578,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,8,8,0.25,2,499.0745584,0.020865305,0.4,0,12.51804,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,8,8,0.25,2,514.0251741,0.021545267,0.3,0,12.82134,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,8,8,0.25,2,509.0257473,0.020776885,0.272727273,50,493.61022,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,8,8,0.25,2,505.0075322,0.020506797,0.181818182,50,500.18994,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,8,8,0.25,2,576.0316416,0.02385708,0.3,0,12.43284,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,8,8,0.25,2,553.0306967,0.022988134,0.230769231,0,13.02342,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,8,8,0.25,2,570.0064468,0.023167059,0.181818182,50,467.11776,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,8,8,0.25,2,553.007578,0.022540431,0.2,50,493.15548,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,8,8,0.25,2,532.0494173,0.022430821,0.272727273,0,12.28158,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,8,8,0.25,2,501.0292833,0.020909705,0.272727273,0,12.45612,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,8,8,0.25,2,522.0153487,0.021454561,0.230769231,50,478.46256,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,8,8,0.25,2,500.0091744,0.020370583,0.2,50,481.18464,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,8,8,0.25,2,559.0160575,0.023135934,0.230769231,0,12.96666,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,8,8,0.25,2,508.0213015,0.02102938,0.25,0,12.29952,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,8,8,0.25,2,543.0109384,0.022061001,0.2,50,471.2592,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,8,8,0.25,2,508.0074013,0.020827468,0.2,50,487.41252,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,8,16,0.25,4,799.0952343,0.033417848,0.3,0,12.65268,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,8,16,0.25,4,777.0949187,0.032271682,0.3,0,12.57738,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,8,16,0.25,4,809.019873,0.033409839,0.2,50,486.44058,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,8,16,0.25,4,783.033677,0.032156056,0.272727273,50,473.29578,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,8,16,0.25,4,799.1430358,0.033227368,0.384615385,0,13.30044,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,8,16,0.25,4,698.0654188,0.029217907,0.333333333,0,12.23316,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,8,16,0.25,4,790.0296875,0.032084392,0.25,50,476.46282,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,8,16,0.25,4,699.0219567,0.02894732,0.2,50,499.65276,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,8,16,0.25,4,837.1217821,0.035033861,0.333333333,0,13.50048,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,8,16,0.25,4,752.0623334,0.031173944,0.3,0,12.44034,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,8,16,0.25,4,819.0282437,0.03384201,0.230769231,50,473.64714,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,8,16,0.25,4,747.0271752,0.030741325,0.25,50,489.20232,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,8,16,0.25,4,794.0795769,0.033090583,0.363636364,0,13.0842,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,8,16,0.25,4,765.0444299,0.031673894,0.3,0,12.01962,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,8,16,0.25,4,782.022394,0.031917527,0.235294118,50,482.93754,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,8,16,0.25,4,757.0182241,0.031135875,0.2,50,497.53626,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,8,16,0.25,4,808.0812401,0.033656556,0.333333333,0,12.85734,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,8,16,0.25,4,790.0704223,0.032723694,0.3,0,12.7449,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,8,16,0.25,4,809.0246361,0.033204047,0.2,50,480.82344,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,8,16,0.25,4,800.0457848,0.032528261,0.3,50,482.95062,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,16,4,0.25,1,747.07729,0.030816325,0.333333333,0,24.80406,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,16,4,0.25,1,732.0456707,0.030196007,0.3,0,23.03016,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,16,4,0.25,1,747.019818,0.030405811,0.214285714,50,998.26374,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,16,4,0.25,1,732.0252412,0.029922061,0.2,50,995.18952,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,16,4,0.25,1,659.0559719,0.027711746,0.3,0,23.26248,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,16,4,0.25,1,621.0329244,0.025867829,0.2,0,23.4864,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,16,4,0.25,1,659.0204059,0.026898891,0.2,50,977.49486,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,16,4,0.25,1,621.0173913,0.025552649,0.2,50,976.10718,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,16,4,0.25,1,829.1449859,0.034714784,0.4,0,24.08004,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,16,4,0.25,1,793.0928345,0.032906307,0.3,0,23.29248,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,16,4,0.25,1,830.020746,0.033752586,0.2,50,1020.05754,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,16,4,0.25,1,792.0172313,0.03218068,0.214285714,50,1046.71494,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,16,4,0.25,1,756.0868605,0.031639848,0.3125,0,24.84006,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,16,4,0.25,1,735.0477355,0.030684097,0.272727273,0,23.29386,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,16,4,0.25,1,753.0296209,0.031043932,0.25,50,985.32438,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,16,4,0.25,1,735.0169247,0.030094167,0.2,50,1010.6634,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,16,4,0.25,1,802.0374965,0.033065491,0.2,0,23.61354,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,16,4,0.25,1,724.1395783,0.029820427,0.333333333,0,23.09226,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,16,4,0.25,1,800.0163401,0.032628136,0.2,50,1009.1088,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,16,4,0.25,1,725.0180373,0.029534877,0.214285714,50,1013.90976,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,16,8,0.25,2,1063.149604,0.044429321,0.333333333,0,23.73402,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,16,8,0.25,2,1045.246478,0.043311207,0.5,0,23.32092,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,16,8,0.25,2,1076.052541,0.044125992,0.230769231,50,985.45698,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,16,8,0.25,2,1046.056558,0.042316147,0.3,50,1000.94388,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,16,8,0.25,2,1048.463184,0.043708135,0.5,0,24.23646,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,16,8,0.25,2,1029.13203,0.042677536,0.3,0,24.41256,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,16,8,0.25,2,1042.044338,0.042600678,0.25,50,998.54658,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,16,8,0.25,2,1051.06005,0.04288256,0.3,50,999.95328,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,16,8,0.25,2,1019.297623,0.042561507,0.454545455,0,22.73514,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,16,8,0.25,2,1046.132101,0.043589919,0.307692308,0,23.55492,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,16,8,0.25,2,1019.04325,0.041506418,0.272727273,50,1024.86462,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,16,8,0.25,2,1044.037809,0.043018616,0.214285714,50,987.60366,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,16,8,0.25,2,1048.105057,0.04352401,0.363636364,0,23.19438,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,16,8,0.25,2,1110.123147,0.045790344,0.307692308,0,23.88024,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,16,8,0.25,2,1052.045179,0.042908757,0.230769231,50,999.18666,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,16,8,0.25,2,1090.04427,0.044358477,0.25,50,1005.14838,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,16,8,0.25,2,1166.275642,0.048535397,0.416666667,0,26.5854,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,16,8,0.25,2,1030.240819,0.043242275,0.4,0,23.28,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,16,8,0.25,2,1162.056473,0.047611801,0.25,50,1010.21466,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,16,8,0.25,2,1028.06878,0.042182396,0.3,50,1020.19278,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,16,16,0.25,4,1753.87152,0.072732626,0.615384615,0,26.58954,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,16,16,0.25,4,1477.50942,0.0614371,0.454545455,0,23.61486,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,16,16,0.25,4,1741.29345,0.071191142,0.363636364,50,996.6078,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,16,16,0.25,4,1474.122335,0.060151787,0.3,50,987.35376,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,16,16,0.25,4,1653.564105,0.068186894,0.416666667,0,26.61006,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,16,16,0.25,4,1444.525785,0.05956393,0.416666667,0,22.86276,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,16,16,0.25,4,1649.312964,0.067701022,0.4,50,980.67672,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,16,16,0.25,4,1467.129663,0.059604337,0.3,50,999.8997,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,16,16,0.25,4,1739.251671,0.072545882,0.7,0,24.9189,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,16,16,0.25,4,1512.47204,0.062735986,0.5,0,24.16374,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,16,16,0.25,4,1745.282613,0.070965267,0.333333333,50,987.31566,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,16,16,0.25,4,1542.160908,0.062780926,0.357142857,50,985.1691,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,16,16,0.25,4,1744.85253,0.072377676,0.5,0,23.84448,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,16,16,0.25,4,1462.263168,0.060595155,0.363636364,0,23.52204,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,16,16,0.25,4,1744.260623,0.07103745,0.333333333,50,1005.44064,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,16,16,0.25,4,1472.117273,0.060175423,0.3,50,1018.25472,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,16,16,0.25,4,1741.357472,0.07277278,0.5,0,23.87388,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,16,16,0.25,4,1578.584634,0.065801959,0.5,0,23.78184,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,16,16,0.25,4,1744.325141,0.071833152,0.384615385,50,1011.48714,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,16,16,0.25,4,1594.156725,0.065165508,0.3,50,973.94688,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,32,4,0.25,1,1424.962685,0.060186355,0.636363636,0,43.03278,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,32,4,0.25,1,1425.646872,0.059670684,0.454545455,0,42.97224,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,32,4,0.25,1,1424.179641,0.05884434,0.307692308,50,1909.79316,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,32,4,0.25,1,1425.208564,0.058727916,0.4,50,1936.9338,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,32,4,0.25,1,1497.319945,0.062035873,0.4,0,45.5688,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,32,4,0.25,1,1458.340779,0.060663319,0.454545455,0,44.72238,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,32,4,0.25,1,1496.129844,0.061118977,0.272727273,50,1944.16398,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,32,4,0.25,1,1458.131911,0.059585732,0.3,50,2006.7606,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,32,4,0.25,1,1406.340325,0.058815345,0.4,0,42.13398,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,32,4,0.25,1,1407.386864,0.058613878,0.4,0,46.92288,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,32,4,0.25,1,1405.134831,0.057536653,0.333333333,50,1936.59762,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,32,4,0.25,1,1407.159834,0.057389631,0.3,50,2061.27714,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,32,4,0.25,1,1374.465423,0.057385063,0.454545455,0,42.76488,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,32,4,0.25,1,1432.44513,0.059648069,0.4,0,44.1066,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,32,4,0.25,1,1374.230726,0.05581383,0.461538462,50,1931.46186,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,32,4,0.25,1,1433.143582,0.058567349,0.3,50,1976.65044,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,32,4,0.25,1,1425.630472,0.059842798,0.5,0,45.56694,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,32,4,0.25,1,1429.84388,0.059536101,0.428571429,0,45.06762,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,32,4,0.25,1,1421.132004,0.058407382,0.3,50,1969.20432,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,32,4,0.25,1,1427.180198,0.058601036,0.307692308,50,1983.46266,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,32,8,0.25,2,2297.561457,0.095440764,1,0,44.38494,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,32,8,0.25,2,2142.237171,0.089156865,0.6,0,43.2075,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,32,8,0.25,2,2297.607554,0.094145418,0.454545455,50,1920.25254,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,32,8,0.25,2,2152.380016,0.087808503,0.384615385,50,1921.6617,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,32,8,0.25,2,2264.099395,0.094639718,0.636363636,0,46.31904,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,32,8,0.25,2,2113.297084,0.088237401,0.5,0,43.25976,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,32,8,0.25,2,2261.59811,0.091786373,0.384615385,50,1870.14798,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,32,8,0.25,2,2119.311806,0.086395373,0.307692308,50,1910.57082,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,32,8,0.25,2,2320.125891,0.095873276,0.583333333,0,42.70944,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,32,8,0.25,2,2229.967924,0.092707477,0.6,0,43.34658,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,32,8,0.25,2,2313.544731,0.094515878,0.4,50,1906.38888,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,32,8,0.25,2,2224.402646,0.090955593,0.333333333,50,1946.7795,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,32,8,0.25,2,2272.646233,0.093814375,0.5,0,44.27556,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,32,8,0.25,2,2158.714626,0.089392853,0.6,0,43.55916,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,32,8,0.25,2,2278.503738,0.093158921,0.4,50,1921.18872,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,32,8,0.25,2,2162.430851,0.088776248,0.333333333,50,1946.07948,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,32,8,0.25,2,2304.501586,0.095372441,0.5,0,45.35466,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,32,8,0.25,2,2132.482831,0.088785743,0.6,0,42.02352,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,32,8,0.25,2,2319.626503,0.094243141,0.384615385,50,1982.80296,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,32,8,0.25,2,2139.399454,0.087249555,0.363636364,50,1940.3322,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,32,16,0.2,3,3374.401039,0.139648334,0.7,0,39.61854,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,32,16,0.2,3,3296.41807,0.136730874,0.6,0,45.65736,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,32,16,0.2,3,3357.880328,0.137157168,0.416666667,50,1988.79228,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,32,16,0.2,3,3300.699598,0.134124693,0.461538462,50,1960.26882,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,32,16,0.2,3,3314.110434,0.137138633,0.8,0,45.23682,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,32,16,0.2,3,3331.486637,0.138218756,0.6,0,41.75472,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,32,16,0.2,3,3340.721637,0.136556209,0.454545455,50,1912.70316,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,32,16,0.2,3,3328.794681,0.135797536,0.416666667,50,1977.3219,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,32,16,0.2,3,3359.901433,0.139990918,0.7,0,44.92578,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,32,16,0.2,3,3321.358518,0.138498287,0.7,0,40.7457,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,32,16,0.2,3,3348.828817,0.136820004,0.545454545,50,1936.11042,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,32,16,0.2,3,3339.509243,0.136299028,0.4,50,1952.7573,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,32,16,0.2,3,3222.273962,0.134053235,0.6,0,44.1348,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,32,16,0.2,3,3299.082922,0.137487125,0.9,0,45.5214,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,32,16,0.2,3,3214.744884,0.131557034,0.454545455,50,1979.74368,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,32,16,0.2,3,3327.009425,0.136254896,0.5,50,1966.71102,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,32,16,0.2,3,3279.809208,0.135635922,0.6,0,45.00954,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,32,16,0.2,3,3236.287068,0.135319461,0.7,0,43.51494,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,32,16,0.2,3,3261.219188,0.133284554,0.636363636,50,2026.28202,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,32,16,0.2,3,3235.207423,0.131757292,0.4,50,1973.57292,0.22,4
